group_id,event,ambiguousflag,track_id,filename,video,frame,datetime,tagid,mergethreshold,eventid,short_interruption,complex,comment,error,to_review,labelbee_valid
18,U,,4304,5second/track_04304_5s.png,6_02_R_190807160000.cfr.mp4,18303,15:25.0,102,5s,102__4304,,,,,,
19,DU,,4439,5second/track_04439_5s.png,6_02_R_190807160000.cfr.mp4,18710,15:42.4,102,5s,102__4439,,,stay_at_entrance,,,
20,DU,TRUE,4508,5second/track_04508_5s.png,6_02_R_190807160000.cfr.mp4,18968,15:51.0,102,5s,102__4508_4519,,,,TRUE,,TRUE
21,DU,,4526,5second/track_04526_5s.png,6_02_R_190807160000.cfr.mp4,19020,16:09.7,102,5s,102__4526_4573,,,interruption,,,
22,D,,6213,5second/track_06213_5s.png,6_02_R_190807160000.cfr.mp4,26957,23:06.1,102,5s,102__6213_6348,x,,u-turn in trajectory,,,
23,U,,6407,5second/track_06407_5s.png,6_02_R_190807160000.cfr.mp4,27861,23:29.0,102,5s,102__6407_6424,x,,u_turn_in_trajectory,,,
24,D,,14602,5second/track_14602_5s.png,28_02_R_190808130000.cfr.mp4,62965,53:30.9,102,5s,102__14602,,,,,,
25,U,,14936,5second/track_14936_5s.png,28_02_R_190808130000.cfr.mp4,64369,53:43.5,102,5s,102__14936,,,,,,
26,D,,14986,5second/track_14986_5s.png,28_02_R_190808130000.cfr.mp4,64604,54:20.8,102,5s,102__14986,,,,,,
27,DU,,4994,5second/track_04994_5s.png,31_02_R_190808160000.cfr.mp4,14415,12:07.0,102,5s,102__4994,,,,,,
28,DU,,5403,5second/track_05403_5s.png,31_02_R_190808160000.cfr.mp4,15301,12:48.1,102,5s,102__5403,,,,,,
29,D,,4718,5second/track_04718_5s.png,27_02_R_190808120000.cfr.mp4,19296,16:07.8,116,5s,116__4718,,,,,,
30,D,,9556,5second/track_09556_5s.png,29_02_R_190808140000.cfr.mp4,41875,34:55.9,116,5s,116__9556,,,,,,
31,D,,9147,5second/track_09147_5s.png,30_02_R_190808150000.cfr.mp4,32781,27:21.8,116,5s,116__9147,,,,,,
32,D,,15371,5second/track_15371_5s.png,31_02_R_190808160000.cfr.mp4,33152,27:43.1,121,5s,121__15371,,,,,,
33,DU,,6024,5second/track_06024_5s.png,2_02_R_190807120000.cfr.mp4,25956,21:45.6,144,5s,144__6024,,,,,,
34,DU,,6177,5second/track_06177_5s.png,2_02_R_190807120000.cfr.mp4,26630,22:16.8,144,5s,144__6177,,,stay_at_entrance,,,
35,DU,,16335,5second/track_16335_5s.png,27_02_R_190808120000.cfr.mp4,62464,52:10.5,144,5s,144__16335_16358,x,,stay_at_entrance,,,
36,DU,x,16437,5second/track_16437_5s.png,27_02_R_190808120000.cfr.mp4,62908,52:33.0,144,5s,144__16437_16455_16466,x,x,stay_at_entrance,FALSE,,TRUE
37,DU,,17218,5second/track_17218_5s.png,27_02_R_190808120000.cfr.mp4,66587,55:43.8,144,5s,144__17218,,,,,,
38,DU,,17605,5second/track_17605_5s.png,27_02_R_190808120000.cfr.mp4,68785,57:47.6,144,5s,144__17605_17615_17684,x,,,FALSE,,TRUE
39,DU,,17741,5second/track_17741_5s.png,27_02_R_190808120000.cfr.mp4,69543,58:08.1,144,5s,144__17741,,,,,,
40,D,,2770,5second/track_02770_5s.png,28_02_R_190808130000.cfr.mp4,13467,11:15.0,144,5s,144__2770,,,,,,
41,U,,2874,5second/track_02874_5s.png,28_02_R_190808130000.cfr.mp4,13791,11:32.5,144,5s,144__2874,,,,,,
42,D,,2524,5second/track_02524_5s.png,31_02_R_190808160000.cfr.mp4,8058,06:46.6,144,5s,144__2524,,,,,,
43,x,x,9128,5second/track_09128_5s.png,29_02_R_190808140000.cfr.mp4,40413,33:40.8,168,5s,168__9128,,,,TRUE,,TRUE
44,D,,3789,5second/track_03789_5s.png,27_02_R_190808120000.cfr.mp4,15608,13:07.6,176,5s,176__3789,,,,,,
45,UD,,3904,5second/track_03904_5s.png,27_02_R_190808120000.cfr.mp4,16041,13:30.2,176,5s,176__3904_3939,x,,interruption,,,
46,D,,6758,5second/track_06758_5s.png,5_02_R_190807150000.cfr.mp4,28580,23:54.0,186,5s,186__6758,,,,,,
47,D,,1740,5second/track_01740_5s.png,3_02_R_190807130000.cfr.mp4,9990,08:22.5,187,5s,187__1740,,,,,,
48,DU,,2475,5second/track_02475_5s.png,3_02_R_190807130000.cfr.mp4,13717,11:35.2,187,5s,187__2475,,,,,,
49,DU,x,2536,5second/track_02536_5s.png,3_02_R_190807130000.cfr.mp4,14156,11:53.5,187,5s,187__2536_2541,x,,stay_at_entrance,,,
50,DU,,5194,5second/track_05194_5s.png,3_02_R_190807130000.cfr.mp4,38232,32:07.3,187,5s,187__5194,,,,,,
51,DU,x,5613,5second/track_05613_5s.png,3_02_R_190807130000.cfr.mp4,41156,34:24.1,187,5s,187__5613,,,,,,
52,D,,5731,5second/track_05731_5s.png,3_02_R_190807130000.cfr.mp4,41655,34:50.3,187,5s,187__5731,,,,,,
53,x,TRUE,6750,5second/track_06750_5s.png,3_02_R_190807130000.cfr.mp4,45848,38:13.7,187,5s,187__6750,,,,,,
54,DU,,9099,5second/track_09099_5s.png,3_02_R_190807130000.cfr.mp4,59168,49:34.9,187,5s,187__9099,,,,,,
55,U,,9146,5second/track_09146_5s.png,3_02_R_190807130000.cfr.mp4,59453,49:52.0,187,5s,187__9146_9210_9226_9245,,,interruption,,,
56,DU,,10951,5second/track_10951_5s.png,5_02_R_190807150000.cfr.mp4,45770,38:17.2,187,5s,187__10951,,,stay_at_entrance,,,
57,D,,20417,5second/track_20417_5s.png,30_02_R_190808150000.cfr.mp4,69307,57:48.4,187,5s,187__20417,,,,,,
58,D,,663,5second/track_00663_5s.png,1_02_R_190807110000.cfr.mp4,3005,02:31.5,199,5s,199__663,,,,,,
59,U,,1676,5second/track_01676_5s.png,1_02_R_190807110000.cfr.mp4,7449,06:13.8,199,5s,199__1676,,,,,,
60,D,,14024,5second/track_14024_5s.png,31_02_R_190808160000.cfr.mp4,30336,25:17.6,199,5s,199__14024,,,,,,
61,DU,,10280,5second/track_10280_5s.png,30_02_R_190808150000.cfr.mp4,36401,30:24.7,212,5s,212__10280,,,,,,
62,D,,3840,5second/track_03840_5s.png,1_02_R_190807110000.cfr.mp4,17807,14:51.0,220,5s,220__3840,,,,,,
63,D,,12465,5second/track_12465_5s.png,1_02_R_190807110000.cfr.mp4,64296,53:35.8,220,5s,220__12465,,,,,,
64,D,,7170,5second/track_07170_5s.png,4_02_R_190807140000.cfr.mp4,37997,31:42.4,220,5s,220__7170,,,,,,
65,U,,7332,5second/track_07332_5s.png,2_02_R_190807120000.cfr.mp4,31345,26:08.1,221,5s,221__7332,,,,,,
66,DU,TRUE,3233,5second/track_03233_5s.png,31_02_R_190808160000.cfr.mp4,10026,08:31.6,221,5s,221__3233,,,end_on_ramp,TRUE,,TRUE
67,U,,3303,5second/track_03303_5s.png,31_02_R_190808160000.cfr.mp4,10217,08:35.9,221,5s,221__3303,,,,,,
68,DU,,3417,5second/track_03417_5s.png,31_02_R_190808160000.cfr.mp4,10489,08:50.8,221,5s,221__3417,,,,,,
69,U,,3463,5second/track_03463_5s.png,31_02_R_190808160000.cfr.mp4,10608,08:56.1,221,5s,221__3463,,,start_on_ramp,,,
70,UD,TRUE,3499,5second/track_03499_5s.png,31_02_R_190808160000.cfr.mp4,10709,09:27.8,221,5s,221__3499,,,end_on_ramp,TRUE,,TRUE
71,D,,3811,5second/track_03811_5s.png,31_02_R_190808160000.cfr.mp4,11546,09:46.9,221,5s,221__3811,,,,,,
72,x,TRUE,8677,5second/track_08677_5s.png,1_02_R_190807110000.cfr.mp4,45029,37:31.8,223,5s,223__8677,,,stay_at_exit,,,
73,D,,1651,5second/track_01651_5s.png,1_02_R_190807110000.cfr.mp4,7389,06:12.1,243,5s,243__1651,,,,,,
74,D,,12915,5second/track_12915_5s.png,31_02_R_190808160000.cfr.mp4,28300,23:37.6,256,5s,256__12915,,,,,,
75,U,,14008,5second/track_14008_5s.png,31_02_R_190808160000.cfr.mp4,30306,25:21.4,256,5s,256__14008_14014,x,,,,,
76,D,,415,5second/track_00415_5s.png,1_02_R_190807110000.cfr.mp4,1934,01:37.3,259,5s,259__415,,,,,,
77,D,,7340,5second/track_07340_5s.png,4_02_R_190807140000.cfr.mp4,38634,32:12.8,259,5s,259__7340,,,,,,
78,D,,8731,5second/track_08731_5s.png,31_02_R_190808160000.cfr.mp4,21649,18:03.6,261,5s,261__8731,,,,,,
79,U,,10293,5second/track_10293_5s.png,1_02_R_190807110000.cfr.mp4,52513,43:46.4,266,5s,266__10293,,,,,,
80,D,,12532,5second/track_12532_5s.png,1_02_R_190807110000.cfr.mp4,64476,53:44.6,266,5s,266__12532,,,,,,
81,D,,205,5second/track_00205_5s.png,4_02_R_190807140000.cfr.mp4,1781,01:30.0,266,5s,266__205,,,,,,
82,U,,5134,5second/track_05134_5s.png,4_02_R_190807140000.cfr.mp4,28824,24:01.7,266,5s,266__5134,,,,,,
83,D,,7145,5second/track_07145_5s.png,4_02_R_190807140000.cfr.mp4,37897,31:35.6,266,5s,266__7145,,,,,,
84,U,,15195,5second/track_15195_5s.png,4_02_R_190807140000.cfr.mp4,70822,59:02.0,266,5s,266__15195,,,,,,
85,U,,14619,5second/track_14619_5s.png,5_02_R_190807150000.cfr.mp4,63757,53:08.7,266,5s,266__14619,,,,,,
86,U,,5990,5second/track_05990_5s.png,26_02_R_190808110000.cfr.mp4,22240,18:33.4,266,5s,266__5990,,,,,,
87,U,,16130,5second/track_16130_5s.png,27_02_R_190808120000.cfr.mp4,61175,51:00.6,266,5s,266__16130,,,,,,
88,D,,14185,5second/track_14185_5s.png,28_02_R_190808130000.cfr.mp4,60734,50:37.2,266,5s,266__14185,,,,,,
89,U,,1863,5second/track_01863_5s.png,31_02_R_190808160000.cfr.mp4,6197,05:10.5,266,5s,266__1863,,,,,,
90,U,,7515,5second/track_07515_5s.png,2_02_R_190807120000.cfr.mp4,32689,27:16.6,269,5s,269__7515,,,,,,
91,D,,10654,5second/track_10654_5s.png,5_02_R_190807150000.cfr.mp4,44519,37:07.6,269,5s,269__10654,,,,,,
92,D,,8113,5second/track_08113_5s.png,6_02_R_190807160000.cfr.mp4,34917,29:07.8,269,5s,269__8113,,,,,,
93,D,,6979,5second/track_06979_5s.png,27_02_R_190808120000.cfr.mp4,26928,22:27.9,269,5s,269__6979,,,,,,
94,U,,10252,5second/track_10252_5s.png,27_02_R_190808120000.cfr.mp4,37678,31:25.5,269,5s,269__10252,,,,,,
95,D,,15792,5second/track_15792_5s.png,30_02_R_190808150000.cfr.mp4,54039,45:03.8,269,5s,269__15792,,,,,,
96,DU,,5054,5second/track_05054_5s.png,31_02_R_190808160000.cfr.mp4,14547,12:12.9,269,5s,269__5054,,,,,,
97,U,,5094,5second/track_05094_5s.png,31_02_R_190808160000.cfr.mp4,14627,12:12.2,269,5s,269__5094,,,,,,
98,DU,,11004,5second/track_11004_5s.png,6_02_R_190807160000.cfr.mp4,46318,38:45.6,270,5s,270__11004,,,,,,
99,D,,2931,5second/track_02931_5s.png,2_02_R_190807120000.cfr.mp4,12112,10:09.0,278,5s,278__2931,,,,,,
100,D,,4914,5second/track_04914_5s.png,26_02_R_190808110000.cfr.mp4,17766,14:50.6,278,5s,278__4914,,,,,,
101,D,,18103,5second/track_18103_5s.png,31_02_R_190808160000.cfr.mp4,39729,33:09.1,282,5s,282__18103,,,,,,
102,D,,17287,5second/track_17287_5s.png,27_02_R_190808120000.cfr.mp4,67028,55:52.2,320,5s,320__17287,,,,,,
103,D,,3799,5second/track_03799_5s.png,28_02_R_190808130000.cfr.mp4,17629,14:42.0,320,5s,320__3799,,,,,,
104,D,,10584,5second/track_10584_5s.png,28_02_R_190808130000.cfr.mp4,46877,39:06.5,320,5s,320__10584,,,,,,
105,U,,5374,5second/track_05374_5s.png,29_02_R_190808140000.cfr.mp4,24889,20:45.4,320,5s,320__5374,,,,,,
106,D,,8414,5second/track_08414_5s.png,29_02_R_190808140000.cfr.mp4,37703,31:26.4,320,5s,320__8414,,,,,,
107,D,TRUE,14956,5second/track_14956_5s.png,30_02_R_190808150000.cfr.mp4,51442,42:56.3,320,5s,320__14956_14971,x,,disjointed,TRUE,,TRUE
108,x,TRUE,15011,5second/track_15011_5s.png,30_02_R_190808150000.cfr.mp4,51630,43:07.1,320,5s,320__15011_15036,x,,stay_at_entrance,,,
109,U,,23648,5second/track_23648_5s.png,31_02_R_190808160000.cfr.mp4,57985,48:20.1,320,5s,320__23648,,,,,,
110,D,,143,5second/track_00143_5s.png,2_02_R_190807120000.cfr.mp4,647,00:33.6,327,5s,327__143,,,,,,
111,D,,6056,5second/track_06056_5s.png,27_02_R_190808120000.cfr.mp4,24206,20:12.2,327,5s,327__6056,,,,,,
112,U,,6760,5second/track_06760_5s.png,27_02_R_190808120000.cfr.mp4,26383,22:02.3,327,5s,327__6760,,,,,,
113,U,,13246,5second/track_13246_5s.png,30_02_R_190808150000.cfr.mp4,46246,38:36.4,331,5s,331__13246,,,,,,
114,DU,,15235,5second/track_15235_5s.png,6_02_R_190807160000.cfr.mp4,60446,51:40.0,332,5s,332__15235_15397,,TRUE,double u-turn,,,
115,DU,,16345,5second/track_16345_5s.png,6_02_R_190807160000.cfr.mp4,63654,53:53.0,332,5s,332__16345_16409,,,,,,
116,D,,17214,5second/track_17214_5s.png,30_02_R_190808150000.cfr.mp4,58472,49:55.8,332,5s,332__17214_17366_17374,,,,,,
117,D,,1022,5second/track_01022_5s.png,2_02_R_190807120000.cfr.mp4,4589,03:55.0,336,5s,336__1022,,,,,,
118,U,,1597,5second/track_01597_5s.png,2_02_R_190807120000.cfr.mp4,7219,06:02.0,336,5s,336__1597,,,,,,
119,D,,14727,5second/track_14727_5s.png,31_02_R_190808160000.cfr.mp4,31800,26:34.6,336,5s,336__14727_14752,,,,,,
120,D,TRUE,15584,5second/track_15584_5s.png,31_02_R_190808160000.cfr.mp4,33607,28:02.8,339,5s,339__15584,,,end_on_ramp,TRUE,,TRUE
121,D,,15594,5second/track_15594_5s.png,31_02_R_190808160000.cfr.mp4,33634,28:03.7,339,5s,339__15594,,,,,,
122,U,,18342,5second/track_18342_5s.png,31_02_R_190808160000.cfr.mp4,40377,33:40.5,339,5s,339__18342,,,,,,
123,D,,15339,5second/track_15339_5s.png,31_02_R_190808160000.cfr.mp4,33086,27:38.8,344,5s,344__15339,,,,,,
124,D,,5502,5second/track_05502_5s.png,4_02_R_190807140000.cfr.mp4,30783,25:43.0,350,5s,350__5502,,,,,,
125,D,,6322,5second/track_06322_5s.png,1_02_R_190807110000.cfr.mp4,32279,26:54.9,359,5s,359__6322,,,,,,
126,D,,11563,5second/track_11563_5s.png,29_02_R_190808140000.cfr.mp4,51505,43:04.2,360,5s,360__11563,,,,,,
127,D,,13631,5second/track_13631_5s.png,31_02_R_190808160000.cfr.mp4,29582,24:40.4,373,5s,373__13631,,,,,,
128,x,TRUE,14853,5second/track_14853_5s.png,31_02_R_190808160000.cfr.mp4,32051,26:43.0,373,5s,373__14853,,,stay_at_exit,,,
129,U,,15038,5second/track_15038_5s.png,31_02_R_190808160000.cfr.mp4,32397,27:01.5,373,5s,373__15038,,,,,,
130,U,,8083,5second/track_08083_5s.png,1_02_R_190807110000.cfr.mp4,41471,34:34.4,381,5s,381__8083,,,,,,
131,DU,,10138,5second/track_10138_5s.png,3_02_R_190807130000.cfr.mp4,65105,54:17.2,381,5s,381__10138,,,stay_at_entrance,,,
132,U,,34,5second/track_00034_5s.png,4_02_R_190807140000.cfr.mp4,172,00:09.4,381,5s,381__34,,,,,,
133,D,,12840,5second/track_12840_5s.png,4_02_R_190807140000.cfr.mp4,62289,51:56.2,381,5s,381__12840,,,,,,
134,UD,,6141,5second/track_06141_5s.png,27_02_R_190808120000.cfr.mp4,24451,20:23.9,381,5s,381__6141,,,,,,
135,D,,11655,5second/track_11655_5s.png,28_02_R_190808130000.cfr.mp4,50620,42:12.4,381,5s,381__11655,,,,,,
136,U,,6677,5second/track_06677_5s.png,30_02_R_190808150000.cfr.mp4,23038,19:12.8,381,5s,381__6677,,,,,,
137,D,,9098,5second/track_09098_5s.png,30_02_R_190808150000.cfr.mp4,32636,27:15.6,381,5s,381__9098,,,,,,
138,D,,15875,5second/track_15875_5s.png,30_02_R_190808150000.cfr.mp4,54318,45:33.3,381,5s,381__15875,,,start_on_ramp,,,
139,DU,,2843,5second/track_02843_5s.png,1_02_R_190807110000.cfr.mp4,12652,10:35.5,382,5s,382__2843,,,,,,
140,x,TRUE,2886,5second/track_02886_5s.png,1_02_R_190807110000.cfr.mp4,12837,10:50.6,382,5s,382__2886_2934,,,end_on_ramp,TRUE,,TRUE
141,DU,,2938,5second/track_02938_5s.png,1_02_R_190807110000.cfr.mp4,13001,10:58.0,382,5s,382__2938,,,,,,
142,DU,,3349,5second/track_03349_5s.png,1_02_R_190807110000.cfr.mp4,15141,12:38.5,382,5s,382__3349,,,stay_at_entrance,,,
143,DU,,3403,5second/track_03403_5s.png,1_02_R_190807110000.cfr.mp4,15444,12:56.5,382,5s,382__3403_3413,x,,stay_at_entrance,,,
144,DU,,11196,5second/track_11196_5s.png,1_02_R_190807110000.cfr.mp4,57061,47:41.1,382,5s,382__11196,,,,,,
145,DU,,12036,5second/track_12036_5s.png,1_02_R_190807110000.cfr.mp4,61860,51:43.8,382,5s,382__12036,,,,,,
146,x,TRUE,12455,5second/track_12455_5s.png,1_02_R_190807110000.cfr.mp4,64268,53:34.0,382,5s,382__12455,,,stay_at_entrance,FALSE,,TRUE
147,D,,1288,5second/track_01288_5s.png,2_02_R_190807120000.cfr.mp4,6101,05:07.2,382,5s,382__1288,,,,,,
148,U,,1881,5second/track_01881_5s.png,2_02_R_190807120000.cfr.mp4,8001,06:44.3,382,5s,382__1881,,,,,,
149,DU,,16696,5second/track_16696_5s.png,6_02_R_190807160000.cfr.mp4,64677,54:01.0,382,5s,382__16696,,,,,,
150,DU,,16777,5second/track_16777_5s.png,6_02_R_190807160000.cfr.mp4,64956,54:16.2,382,5s,382__16777,,,,,,
151,D,,7151,5second/track_07151_5s.png,27_02_R_190808120000.cfr.mp4,27442,22:56.5,382,5s,382__7151,,,,,,
152,U,,7562,5second/track_07562_5s.png,27_02_R_190808120000.cfr.mp4,28674,24:07.2,382,5s,382__7562_7599,x,,,,,
153,D,,7724,5second/track_07724_5s.png,27_02_R_190808120000.cfr.mp4,29244,24:33.8,382,5s,382__7724,,,,,,
154,U,,12131,5second/track_12131_5s.png,27_02_R_190808120000.cfr.mp4,44776,37:20.0,382,5s,382__12131,,,,,,
155,D,,2769,5second/track_02769_5s.png,28_02_R_190808130000.cfr.mp4,13460,11:14.2,382,5s,382__2769,,,,,,
156,U,,2901,5second/track_02901_5s.png,28_02_R_190808130000.cfr.mp4,13883,11:35.1,382,5s,382__2901,,,,,,
157,DU,,6000,5second/track_06000_5s.png,29_02_R_190808140000.cfr.mp4,28299,23:50.4,382,5s,382__6000,,,,,,
158,D,,6094,5second/track_06094_5s.png,29_02_R_190808140000.cfr.mp4,28790,24:20.2,382,5s,382__6094_6125,,,,,,
159,U,,6174,5second/track_06174_5s.png,29_02_R_190808140000.cfr.mp4,29198,24:32.1,382,5s,382__6174,,,,,,
160,U,,6247,5second/track_06247_5s.png,29_02_R_190808140000.cfr.mp4,29423,25:26.5,382,5s,382__6247,,,start_on_ramp,,,
161,DU,,6919,5second/track_06919_5s.png,29_02_R_190808140000.cfr.mp4,31967,26:41.8,382,5s,382__6919,,,,,,
162,D,,8933,5second/track_08933_5s.png,29_02_R_190808140000.cfr.mp4,39600,33:07.0,382,5s,382__8933,,,,,,
163,U,,9024,5second/track_09024_5s.png,29_02_R_190808140000.cfr.mp4,39934,33:25.7,382,5s,382__9024_9030,x,,,,,
164,D,,18023,5second/track_18023_5s.png,30_02_R_190808150000.cfr.mp4,61499,51:21.4,382,5s,382__18023_18056,x,,,,,
165,D,,10970,5second/track_10970_5s.png,1_02_R_190807110000.cfr.mp4,55994,46:47.1,384,5s,384__10970,,,,,,
166,D,,7510,5second/track_07510_5s.png,4_02_R_190807140000.cfr.mp4,39189,32:41.6,384,5s,384__7510,,,,,,
167,D,,7681,5second/track_07681_5s.png,26_02_R_190808110000.cfr.mp4,28781,24:00.7,384,5s,384__7681,,,,,,
168,DU,,23299,5second/track_23299_5s.png,31_02_R_190808160000.cfr.mp4,56285,47:07.6,384,5s,384__23299,,,,,,
169,DU,,23429,5second/track_23429_5s.png,31_02_R_190808160000.cfr.mp4,57015,47:40.4,384,5s,384__23429,,,,,,
170,UD,,23458,5second/track_23458_5s.png,31_02_R_190808160000.cfr.mp4,57132,48:00.4,384,5s,384__23458_23531_23535,,,start_on_ramp,,,
171,U,,23551,5second/track_23551_5s.png,31_02_R_190808160000.cfr.mp4,57531,48:01.6,384,5s,384__23551,,,start_on_ramp,,,
172,D,,833,5second/track_00833_5s.png,3_02_R_190807130000.cfr.mp4,4967,04:13.9,397,5s,397__833,,,,,,
173,U,,5690,5second/track_05690_5s.png,5_02_R_190807150000.cfr.mp4,24702,20:35.4,397,5s,397__5690,,,,,,
174,D,,12633,5second/track_12633_5s.png,5_02_R_190807150000.cfr.mp4,54309,45:16.3,397,5s,397__12633,,,,,,
175,U,,565,5second/track_00565_5s.png,26_02_R_190808110000.cfr.mp4,2077,01:44.4,397,5s,397__565,,,,,,
176,D,,9740,5second/track_09740_5s.png,26_02_R_190808110000.cfr.mp4,38499,32:08.2,397,5s,397__9740,,,,,,
177,D,,934,5second/track_00934_5s.png,27_02_R_190808120000.cfr.mp4,4273,03:34.3,397,5s,397__934,,,,,,
178,D,,12148,5second/track_12148_5s.png,29_02_R_190808140000.cfr.mp4,54682,45:34.7,397,5s,397__12148,,,,,,
179,U,,4439,5second/track_04439_5s.png,2_02_R_190807120000.cfr.mp4,18851,15:43.8,399,5s,399__4439,,,,,,
180,D,,7068,5second/track_07068_5s.png,2_02_R_190807120000.cfr.mp4,30269,25:15.2,399,5s,399__7068,,,,,,
181,U,,1317,5second/track_01317_5s.png,5_02_R_190807150000.cfr.mp4,5275,04:25.1,399,5s,399__1317,,,,,,
182,D,,4670,5second/track_04670_5s.png,26_02_R_190808110000.cfr.mp4,16952,14:10.2,399,5s,399__4670,,,,,,
183,U,,2489,5second/track_02489_5s.png,27_02_R_190808120000.cfr.mp4,10306,08:37.6,399,5s,399__2489,,,,,,
184,D,,3947,5second/track_03947_5s.png,27_02_R_190808120000.cfr.mp4,16188,13:30.5,399,5s,399__3947,,,,,,
185,U,,4535,5second/track_04535_5s.png,28_02_R_190808130000.cfr.mp4,21069,17:34.6,399,5s,399__4535,,,,,,
186,D,,6878,5second/track_06878_5s.png,28_02_R_190808130000.cfr.mp4,32732,27:20.2,399,5s,399__6878,,,,,,
187,U,,7121,5second/track_07121_5s.png,29_02_R_190808140000.cfr.mp4,32863,27:24.8,399,5s,399__7121,,,,,,
188,D,,14196,5second/track_14196_5s.png,29_02_R_190808140000.cfr.mp4,62348,51:59.1,399,5s,399__14196,,,,,,
189,DU,,10987,5second/track_10987_5s.png,1_02_R_190807110000.cfr.mp4,56121,46:59.8,410,5s,410__10987_11031,x,TRUE,complex u-turn,,,
190,DU,,56,5second/track_00056_5s.png,2_02_R_190807120000.cfr.mp4,269,00:39.7,410,5s,410__56_91,x,,,,,
191,DU,,1548,5second/track_01548_5s.png,2_02_R_190807120000.cfr.mp4,6993,06:06.7,410,5s,410__1548,,,,,,
192,U,,10521,5second/track_10521_5s.png,31_02_R_190808160000.cfr.mp4,24454,20:25.6,410,5s,410__10521,,,,,,
193,D,,8354,5second/track_08354_5s.png,31_02_R_190808160000.cfr.mp4,21070,17:34.9,411,5s,411__8354,,,,,,
194,D,,16755,5second/track_16755_5s.png,30_02_R_190808150000.cfr.mp4,57127,47:47.1,417,5s,417__16755,,,,,,
195,U,,17225,5second/track_17225_5s.png,30_02_R_190808150000.cfr.mp4,58492,48:48.4,417,5s,417__17225,,,,,,
196,D,,5531,5second/track_05531_5s.png,31_02_R_190808160000.cfr.mp4,15575,13:07.2,417,5s,417__5531_5575,x,,disjointed,,,
197,UD,,5721,5second/track_05721_5s.png,31_02_R_190808160000.cfr.mp4,15948,13:30.4,417,5s,417__5721_5737_5788,x,,,,,
198,U,,5968,5second/track_05968_5s.png,31_02_R_190808160000.cfr.mp4,16479,13:48.5,417,5s,417__5968,,,,,,
199,U,,9647,5second/track_09647_5s.png,1_02_R_190807110000.cfr.mp4,49040,40:53.5,420,5s,420__9647,,,,,,
200,D,,347,5second/track_00347_5s.png,2_02_R_190807120000.cfr.mp4,1767,01:28.8,420,5s,420__347,,,,,,
201,D,,1069,5second/track_01069_5s.png,3_02_R_190807130000.cfr.mp4,6292,05:15.5,420,5s,420__1069,,,,,,
202,U,,3433,5second/track_03433_5s.png,4_02_R_190807140000.cfr.mp4,20070,16:44.3,420,5s,420__3433,,,,,,
203,D,,3335,5second/track_03335_5s.png,26_02_R_190808110000.cfr.mp4,12360,10:18.8,420,5s,420__3335,,,,,,
